Video,Blinking,Eyebrow Contractions,Cheek Raising,Facial Twitching,Yawning,Smiling,Frowning,Looking Away
1100011002.mp4,3,2,3,17,1,0,0,0
1100011003.mp4,1,6,0,5,1,0,0,0
1100011004.mp4,1,1,0,3,1,0,0,0
1100011005.mp4,1,4,0,5,1,0,0,0
1100011006.mp4,1,5,1,12,1,0,0,0
1100011007.mp4,0,1,1,7,1,0,0,0
1100011008.mp4,0,0,2,0,1,0,0,0
1100011009.mp4,0,0,2,4,1,0,0,0
1100011010.mp4,1,0,2,6,1,0,0,0
1100011011.mp4,1,0,3,6,1,0,0,0
1100011012.mp4,1,0,3,2,1,0,0,0
1100011013.mp4,0,0,6,2,1,0,0,0
1100011014.mp4,1,0,0,1,1,0,0,0
1100011015.mp4,0,0,12,0,1,0,0,0
1100011016.mp4,0,0,2,8,1,0,0,0
1100011017.mp4,0,0,1,2,1,0,0,0
1100011018.mp4,0,0,1,5,1,0,0,0
1100011019.mp4,1,2,2,9,1,1,0,0
1100011020.mp4,0,1,1,7,1,0,0,0
1100011021.mp4,0,0,1,1,1,0,0,0
1100011022.mp4,0,0,1,3,1,2,0,0
1100011023.mp4,0,0,1,0,1,0,0,0
1100011025.mp4,1,3,2,3,1,4,0,0
1100011026.mp4,2,10,1,4,1,0,0,0
1100011027.mp4,0,5,1,2,1,0,0,0
1100011028.mp4,0,3,1,2,1,0,0,0
1100011029.mp4,0,1,1,1,1,0,0,0
1100011031.mp4,0,0,2,4,1,0,0,0
1100011032.mp4,1,0,1,7,1,0,0,0
1100011034.mp4,0,0,1,5,1,0,0,0
1100011035.mp4,1,0,5,9,1,0,0,0
1100011037.mp4,0,0,2,6,1,0,0,0
1100011038.mp4,2,0,1,1,1,0,0,0
1100011040.mp4,0,0,5,3,1,0,0,0
1100011046.mp4,0,0,1,3,1,0,0,0
1100011047.mp4,0,3,2,6,1,0,0,0
1100011048.mp4,1,1,3,9,1,0,0,0
1100011049.mp4,0,0,0,13,1,0,0,0
1100011050.mp4,0,0,3,12,1,0,0,0
1100011051.mp4,0,0,21,7,1,0,0,0
1100011052.mp4,0,0,8,5,1,0,0,0
1100011053.mp4,0,0,1,11,1,0,0,0
1100011054.mp4,0,1,1,4,1,0,0,0
1100011055.mp4,0,0,2,4,1,0,0,0
1100011056.mp4,0,0,5,2,1,0,0,0
1100011057.mp4,1,2,3,18,1,0,0,0
1100011058.mp4,0,0,5,6,1,0,0,0
1100011059.mp4,2,1,7,20,1,0,0,0
1100011060.mp4,0,0,1,4,1,0,0,0
1100011062.mp4,0,0,1,1,1,0,0,0
1100011063.mp4,0,0,1,3,1,0,0,0
1100011064.mp4,0,0,1,5,1,0,0,0
1100011066.mp4,1,0,2,3,1,0,0,0
1100011067.mp4,1,0,10,1,1,0,0,0
