Video,Blink_Count,Head_Movements,Eyebrow_Contractions,Cheek_Raisings,Facial_Twitches,Estimated_Focus
5000441001.mp4,3,0,100,68,100,46.25
5000441002.mp4,7,0,100,90,100,41.25
5000441003.mp4,0,0,100,76,100,50.0
5000441005.mp4,12,0,100,100,100,35.0
5000441006.mp4,0,0,100,97,100,50.0
5000441007.mp4,0,0,100,95,100,50.0
5000441008.mp4,28,0,100,2,100,37.0
5000441009.mp4,12,0,100,98,100,35.0
5000441010.mp4,8,0,100,100,100,40.0
5000441012.mp4,0,0,100,100,100,50.0
5000441013.mp4,11,0,100,100,100,36.25
5000441014.mp4,20,0,100,96,100,25.0
5000441015.mp4,6,0,100,45,100,42.5
5000441016.mp4,0,0,100,1,100,63.5
5000441017.mp4,0,0,100,12,100,50.0
5000441018.mp4,13,0,100,18,100,33.75
5000441021.mp4,7,0,100,100,100,41.25
5000441022.mp4,0,0,100,98,100,50.0
5000441023.mp4,20,0,100,100,100,25.0
5000441024.mp4,10,0,100,32,100,37.5
5000441027.mp4,1,0,100,47,100,48.75
5000441030.mp4,8,0,100,100,100,40.0
5000441031.mp4,8,0,100,100,100,40.0
5000441032.mp4,10,0,100,100,100,37.5
5000441033.mp4,0,0,100,100,100,50.0
5000441034.mp4,7,0,100,100,100,41.25
5000441035.mp4,23,0,100,99,100,25.0
5000441037.mp4,19,0,100,100,100,26.25
5000441038.mp4,32,0,100,66,100,25.0
5000441039.mp4,32,0,100,86,100,25.0
5000441040.mp4,29,0,100,14,100,25.0
5000441041.mp4,8,0,100,10,100,40.0
5000441042.mp4,28,0,100,64,100,25.0
5000441043.mp4,11,0,100,100,100,36.25
5000441044.mp4,7,0,100,100,100,41.25
5000441045.mp4,7,0,100,100,100,41.25
5000441046.mp4,0,0,100,46,100,50.0
5000441047.mp4,13,0,100,43,100,33.75
5000441048.mp4,12,0,100,100,100,35.0
5000441050.mp4,12,0,100,88,100,35.0
5000441051.mp4,4,0,100,55,100,45.0
5000441052.mp4,9,0,100,93,100,38.75
5000441053.mp4,5,0,100,100,100,43.75
5000441054.mp4,8,0,100,100,100,40.0
5000441055.mp4,0,0,100,46,100,50.0
5000441058.mp4,10,0,100,0,100,52.5
5000441059.mp4,0,0,100,3,100,60.5
5000441061.mp4,8,0,100,100,100,40.0
5000441062.mp4,2,0,100,100,100,47.5
5000441064.mp4,11,0,100,100,100,36.25
5000441065.mp4,8,0,100,100,100,40.0
5000441066.mp4,16,0,100,100,100,30.0
5000441067.mp4,27,0,100,100,100,25.0
5000441068.mp4,12,0,100,9,100,36.5
5000441069.mp4,0,0,100,100,100,50.0
5000441070.mp4,7,0,100,100,100,41.25
5000441071.mp4,0,0,100,33,100,50.0
5000441072.mp4,1,0,100,0,100,63.74999999999999
5000442001.mp4,19,0,100,25,100,26.25
5000442002.mp4,21,0,100,16,100,25.0
5000442003.mp4,0,0,100,0,100,65.0
5000442004.mp4,17,0,93,10,100,28.749999999999996
5000442005.mp4,21,0,100,0,100,40.0
5000442007.mp4,7,0,100,67,100,41.25
5000442008.mp4,0,0,100,80,100,50.0
5000442009.mp4,0,0,100,93,100,50.0
5000442010.mp4,7,0,100,98,100,41.25
5000442014.mp4,0,0,100,1,100,63.5
5000442015.mp4,0,0,100,5,100,57.49999999999999
5000442016.mp4,0,0,100,0,100,65.0
5000442019.mp4,0,0,100,0,100,65.0
5000442021.mp4,0,0,100,0,100,65.0
5000442022.mp4,6,0,100,1,100,56.00000000000001
5000442024.mp4,0,0,100,0,100,65.0
5000442025.mp4,13,0,100,0,100,48.75000000000001
5000442026.mp4,0,0,100,0,100,65.0
5000442027.mp4,8,0,100,0,100,55.00000000000001
5000442028.mp4,0,0,100,100,100,50.0
5000442029.mp4,3,0,100,95,100,46.25
5000442033.mp4,17,0,95,78,95,28.749999999999996
5000442034.mp4,7,0,100,67,100,41.25
5000442035.mp4,10,0,100,22,100,37.5
5000442036.mp4,10,0,100,39,100,37.5
5000442037.mp4,0,0,100,27,100,50.0
5000442038.mp4,0,0,100,67,100,50.0
5000442039.mp4,4,0,100,11,100,45.0
5000442040.mp4,6,0,100,87,100,42.5
5000442042.mp4,1,0,100,0,100,63.74999999999999
5000442043.mp4,14,0,100,21,100,32.5
5000442045.mp4,0,0,100,0,100,65.0
5000442047.mp4,7,0,100,0,100,56.25
5000442048.mp4,6,0,100,12,100,42.5
5000442050.mp4,0,0,100,1,100,63.5
5000442051.mp4,3,0,100,22,100,46.25
5000442052.mp4,15,0,100,25,100,31.25
5000442053.mp4,0,0,100,97,100,50.0
5000442054.mp4,0,0,100,65,100,50.0
5000442055.mp4,1,0,100,99,100,48.75
5000442056.mp4,10,0,100,58,100,37.5
5000442057.mp4,11,0,100,100,100,36.25
5000442058.mp4,5,0,100,95,100,43.75
5000442059.mp4,14,0,100,99,100,32.5
5000442060.mp4,12,0,100,100,100,35.0
5000442062.mp4,10,0,100,100,100,37.5
5000442063.mp4,0,0,100,100,100,50.0
5000442064.mp4,0,0,100,100,100,50.0
5000442065.mp4,0,0,100,100,100,50.0
5000442066.mp4,15,0,100,100,100,31.25
5000442067.mp4,0,0,100,100,100,50.0
5000442068.mp4,0,0,100,100,100,50.0
5000442069.mp4,0,0,100,100,100,50.0
5000442070.mp4,0,0,100,86,100,50.0
5000442072.mp4,3,0,100,100,100,46.25
5000442073.mp4,0,0,100,100,100,50.0
5000442074.mp4,2,0,100,100,100,47.5
5000442075.mp4,8,0,100,100,100,40.0
5000442076.mp4,6,0,100,100,100,42.5
5000442077.mp4,8,0,100,99,100,40.0
5000442078.mp4,0,0,100,100,100,50.0
5000671001.mp4,11,0,100,100,100,36.25
5000671002.mp4,0,0,100,100,100,50.0
5000671003.mp4,25,0,100,98,100,25.0
5000671004.mp4,9,0,100,100,100,38.75
5000671005.mp4,3,0,100,0,100,61.25000000000001
5000671006.mp4,4,0,100,73,100,45.0
5000671008.mp4,19,0,100,100,100,26.25
5000671009.mp4,0,0,100,100,100,50.0
5000671010.mp4,0,0,100,100,100,50.0
5000671011.mp4,25,0,100,62,100,25.0
5000671012.mp4,9,0,100,0,100,53.75
5000671013.mp4,7,0,100,100,100,41.25
5000671014.mp4,21,0,100,100,100,25.0
5000671015.mp4,18,0,100,0,100,42.50000000000001
